index,value
1,11.18751577
2,11.1846671
3,11.2226565
4,11.20770417
5,11.17847238
6,11.16693864
7,11.203777
8,11.17493556
9,11.18041213
10,11.20105475
11,11.16994931
12,11.17249403
13,11.17493557
14,11.19988711
15,11.1580709
16,11.19354379
17,11.18392318
18,11.24147627
19,11.21495026
20,11.25924749
21,11.20717973
22,11.21079662
23,11.21546972
24,11.24260946
25,11.26857506
26,11.22297439
27,11.22768604
28,11.23703245
29,11.22883184
30,11.22399205
31,11.23819958
32,11.19999975
33,11.20947142
34,11.21678347
35,11.21676249
36,11.20244174
37,11.20235839
38,11.21905059
39,11.21332989
40,11.20643912
41,11.1862947
42,11.22087992
43,11.2033511
44,11.24357211
45,11.21047493
46,11.18296216
47,11.19731683
48,11.2210442
49,11.20882995
50,11.23234369
51,11.19491764
52,11.19631862
53,11.20359079
54,11.17231971
55,11.17207817
56,11.16519874
57,11.19972773
58,11.21625147
59,11.20226481
60,11.20039705
61,11.19596968
62,11.22809823
63,11.20903931
64,11.22569525
65,11.21029199
66,11.24667608
67,11.21268201
68,11.23340621
69,11.21539312
70,11.23820488
71,11.238099
72,11.22559562
73,11.2514404
74,11.24523083
75,11.21750337
76,11.22428625
77,11.2165331
78,11.24877686
79,11.23078074
80,11.21217113
81,11.20162386
82,11.22923216
83,11.21933311
84,11.22121169
85,11.23512776
86,11.22634217
87,11.20922321
88,11.19054752
89,11.21120212
90,11.19651287
91,11.19212795
92,11.20065881
93,11.18941266
94,11.18778047
95,11.20413029
96,11.18960939
97,11.17788091
98,11.20598456
99,11.18763301
100,11.23617542
101,11.19485697
102,11.18436275
103,11.1978461
104,11.19734865
105,11.2072273
106,11.20448091
107,11.15322023
108,11.20629343
109,11.12250597
110,11.06974091
111,11.02864478
112,11.05809189
113,11.12820162
114,11.14691544
115,11.14591071
116,11.12494561
117,11.15997511
118,11.16093816
119,11.1465299
120,11.1390473
121,11.13316427
122,11.1150442
123,11.1856464
124,11.1592404
125,11.15070576
126,11.12836979
127,11.13113779
128,11.11672327
129,11.13734033
130,11.19058465
131,11.15326467
132,11.20663885
133,11.17513557
134,11.19572771
135,11.18125128
136,11.16053021
137,11.17713017
138,11.21037965
139,11.1939381
140,11.1862725
141,11.19906972
142,11.18633925
143,11.18367087
144,11.22597552
145,11.20183451
146,11.22239988
147,11.21068809
148,11.21269016
149,11.23087196
150,11.18313132
151,11.23693148
152,11.17836681
153,11.18127852
154,11.18747178
155,11.21684448
